Date,Clics,Impressions,CTR,Position
2025-07-29,261,14263,1.83%,12.1
2025-07-30,258,14077,1.83%,12.3
2025-07-31,278,12987,2.14%,12.2
2025-08-01,265,13435,1.97%,15.5
2025-08-02,200,10790,1.85%,14.6
2025-08-03,220,12015,1.83%,14.4
2025-08-04,293,13874,2.11%,12.3
2025-08-05,289,13962,2.07%,12.7
2025-08-06,291,13850,2.1%,13.3
2025-08-07,211,13334,1.58%,14
2025-08-08,208,13460,1.55%,14.7
2025-08-09,184,12354,1.49%,15.7
2025-08-10,195,11794,1.65%,15
2025-08-11,260,18678,1.39%,19.4
2025-08-12,240,13303,1.8%,14.4
2025-08-13,209,12352,1.69%,13.6
2025-08-14,230,11574,1.99%,13.5
2025-08-15,150,10373,1.45%,14.9
2025-08-16,141,11076,1.27%,15.8
2025-08-17,177,10750,1.65%,12.9
2025-08-18,276,13267,2.08%,12.1
2025-08-19,245,13403,1.83%,13.3
2025-08-20,291,13231,2.2%,12.7
2025-08-21,274,14281,1.92%,14.3
2025-08-22,217,12641,1.72%,14.5
2025-08-23,177,10957,1.62%,14.8
2025-08-24,199,11566,1.72%,13.8
2025-08-25,258,14366,1.8%,12
2025-08-26,247,15052,1.64%,13.6
2025-08-27,251,14576,1.72%,13.4
2025-08-28,246,14369,1.71%,13.6
2025-08-29,254,14943,1.7%,17.2
2025-08-30,193,12145,1.59%,15
2025-08-31,193,11704,1.65%,14.7
2025-09-01,308,16338,1.89%,14.1
2025-09-02,270,15382,1.76%,13.3
2025-09-03,275,15018,1.83%,13.5
2025-09-04,259,14979,1.73%,13.7
2025-09-05,223,13369,1.67%,14.9
2025-09-06,158,11740,1.35%,16.9
2025-09-07,190,12023,1.58%,13.9
2025-09-08,296,15906,1.86%,13.4
2025-09-09,251,15487,1.62%,13.8
2025-09-10,256,14051,1.82%,11.3
2025-09-11,298,14393,2.07%,11.2
2025-09-12,219,11295,1.94%,11
2025-09-13,171,10306,1.66%,9.2
2025-09-14,205,10030,2.04%,9
2025-09-15,311,13559,2.29%,8.7
2025-09-16,282,13365,2.11%,8.6
2025-09-17,254,12812,1.98%,9.4
2025-09-18,272,12357,2.2%,9.1
2025-09-19,239,11271,2.12%,9.7
2025-09-20,166,9931,1.67%,10.8
2025-09-21,233,11202,2.08%,10.3
2025-09-22,340,13983,2.43%,8.8
2025-09-23,274,13417,2.04%,8.7
2025-09-24,269,14368,1.87%,11.6
2025-09-25,231,12306,1.88%,9.3
2025-09-26,196,11284,1.74%,9.5
2025-09-27,174,9512,1.83%,10.8
2025-09-28,187,10204,1.83%,9.4
2025-09-29,292,14000,2.09%,9.4
2025-09-30,280,13797,2.03%,9.6
2025-10-01,253,13448,1.88%,9.7
2025-10-02,250,12930,1.93%,9.1
2025-10-03,233,11006,2.12%,8.2
2025-10-04,191,10492,1.82%,10.4
2025-10-05,184,10968,1.68%,9.2
2025-10-06,274,14215,1.93%,9.4
2025-10-07,255,13017,1.96%,8.5
2025-10-08,270,12604,2.14%,8.1
2025-10-09,286,12796,2.24%,8.4
2025-10-10,242,11549,2.1%,8.9
2025-10-11,200,10246,1.95%,10
2025-10-12,203,10057,2.02%,8.5
2025-10-13,392,13955,2.81%,7.9
2025-10-14,308,13408,2.3%,8.2
2025-10-15,276,14405,1.92%,10.3
2025-10-16,267,14376,1.86%,10.4
2025-10-17,221,11708,1.89%,9.4
2025-10-18,185,9435,1.96%,10
2025-10-19,172,10712,1.61%,9.5
2025-10-20,291,14259,2.04%,9.1
2025-10-21,307,13571,2.26%,8.8
2025-10-22,294,13815,2.13%,9.2
2025-10-23,303,14551,2.08%,8.7
2025-10-24,207,11733,1.76%,8.5
2025-10-25,167,10867,1.54%,10.7
2025-10-26,234,10300,2.27%,9.5
2025-10-27,285,14095,2.02%,9
2025-10-28,251,13485,1.86%,9.1
2025-10-29,282,13277,2.12%,9.5
2025-10-30,277,12706,2.18%,8.9
2025-10-31,198,10912,1.81%,9.1
2025-11-01,204,10707,1.91%,10.5
2025-11-02,221,11618,1.9%,9.6
2025-11-03,291,13643,2.13%,8.8
2025-11-04,281,13404,2.1%,9.4
2025-11-05,266,12982,2.05%,9.4
2025-11-06,249,12565,1.98%,9.5
2025-11-07,224,11557,1.94%,9.8
2025-11-08,177,9852,1.8%,10.5
2025-11-09,203,10736,1.89%,10.1
2025-11-10,245,13864,1.77%,11
2025-11-11,249,13266,1.88%,10.4
2025-11-12,254,13898,1.83%,9.1
2025-11-13,291,13324,2.18%,8.9
2025-11-14,247,12498,1.98%,9.7
2025-11-15,190,10337,1.84%,9.3
2025-11-16,225,11011,2.04%,9.2
2025-11-17,256,13715,1.87%,8.9
2025-11-18,270,13443,2.01%,9.7
2025-11-19,260,12968,2%,9.3
2025-11-20,233,12366,1.88%,9.8
2025-11-21,217,11086,1.96%,11.1
2025-11-22,155,10116,1.53%,11.5
2025-11-23,190,10821,1.76%,10.7
2025-11-24,261,13214,1.98%,9
2025-11-25,237,13021,1.82%,9.6
2025-11-26,242,12400,1.95%,9.5
2025-11-27,264,12389,2.13%,9.8
2025-11-28,214,11728,1.82%,12.5
2025-11-29,142,8958,1.59%,11.2
2025-11-30,175,10263,1.71%,10.5
2025-12-01,264,12992,2.03%,9.1
2025-12-02,268,12663,2.12%,10
2025-12-03,262,12251,2.14%,9.3
2025-12-04,243,12327,1.97%,10.1
2025-12-05,193,11440,1.69%,12.6
2025-12-06,135,8735,1.55%,10.5
2025-12-07,168,9358,1.8%,10.5
2025-12-08,261,13010,2.01%,9.2
2025-12-09,254,13554,1.87%,10.9
2025-12-10,270,14995,1.8%,13
2025-12-11,220,11914,1.85%,10.1
2025-12-12,171,13353,1.28%,15.4
2025-12-13,142,9705,1.46%,13.5
2025-12-14,146,9727,1.5%,10.6
2025-12-15,238,14722,1.62%,12.1
2025-12-16,237,13410,1.77%,10.4
2025-12-17,222,11878,1.87%,9.1
2025-12-18,201,12261,1.64%,10.9
2025-12-19,162,11099,1.46%,12.9
2025-12-20,141,8734,1.61%,11.4
2025-12-21,161,9812,1.64%,12.3
2025-12-22,235,11438,2.05%,10.5
2025-12-23,199,10816,1.84%,12.1
2025-12-24,106,7736,1.37%,13.1
2025-12-25,109,7326,1.49%,13.2
2025-12-26,160,9844,1.63%,11.1
2025-12-27,170,9175,1.85%,10.2
2025-12-28,207,9381,2.21%,10.1
2025-12-29,236,11253,2.1%,9.6
2025-12-30,186,10648,1.75%,10.1
2025-12-31,133,7777,1.71%,10.9
2026-01-01,122,8413,1.45%,12.8
2026-01-02,201,10357,1.94%,11.5
2026-01-03,159,9609,1.65%,10.7
2026-01-04,187,10199,1.83%,10.1
2026-01-05,254,13116,1.94%,9.5
2026-01-06,279,12736,2.19%,9
2026-01-07,273,13730,1.99%,10.4
2026-01-08,287,13154,2.18%,9.5
2026-01-09,261,14450,1.81%,11.6
2026-01-10,202,12655,1.6%,12.9
2026-01-11,253,11819,2.14%,9.8
2026-01-12,328,14821,2.21%,8.9
2026-01-13,321,14773,2.17%,8.7
2026-01-14,273,14686,1.86%,8.9
2026-01-15,297,13894,2.14%,9
2026-01-16,256,13539,1.89%,10.8
2026-01-17,196,11045,1.77%,10.8
2026-01-18,238,11630,2.05%,9.7
2026-01-19,355,16845,2.11%,12.5
2026-01-20,312,15014,2.08%,9.6
2026-01-21,289,15722,1.84%,10.6
2026-01-22,306,15323,2%,10.1
2026-01-23,248,13691,1.81%,10.9
2026-01-24,186,11415,1.63%,11.4
2026-01-25,234,11579,2.02%,9.8
2026-01-26,366,16612,2.2%,10.4
2026-01-27,321,14862,2.16%,9.9
2026-01-28,271,14186,1.91%,9